,Respondent,LanguageDesireNextYear,LanguageWorkedWith
55643,18595,,Python
55644,18595,,SQL
55645,18595,Go,
55648,18595,Python,
55651,18595,Rust,
55654,18602,Bash/Shell/PowerShell,Bash/Shell/PowerShell
55655,18602,,C#
55656,18602,,Dart
55657,18602,,HTML/CSS
55658,18602,,JavaScript
55659,18602,,Python
55660,18602,,SQL
55661,18602,,TypeScript
55662,18602,C#,
55670,18602,Dart,
55678,18602,JavaScript,
55686,18602,Swift,
55694,18602,TypeScript,
55702,18604,HTML/CSS,HTML/CSS
55703,18604,,Java
55704,18604,,JavaScript
55705,18604,,PHP
55706,18604,,SQL
55707,18604,Java,
55712,18604,JavaScript,
55717,18604,PHP,
55722,18604,Scala,
55727,18604,SQL,
55732,18606,C#,Bash/Shell/PowerShell
55733,18606,,C#
55734,18606,,HTML/CSS
55735,18606,,Java
55736,18606,,JavaScript
55737,18606,,Kotlin
55738,18606,,Python
55739,18606,,SQL
55740,18606,,TypeScript
55741,18606,HTML/CSS,
55750,18606,JavaScript,
55759,18606,Kotlin,
55768,18606,SQL,
55777,18606,TypeScript,
55786,18614,Bash/Shell/PowerShell,Bash/Shell/PowerShell
55787,18614,,JavaScript
55788,18614,,Python
55789,18614,,SQL
55790,18614,JavaScript,
55794,18614,SQL,
55798,18614,TypeScript,
55802,18626,Bash/Shell/PowerShell,Bash/Shell/PowerShell
55803,18626,,C#
55804,18626,,HTML/CSS
55805,18626,,Java
55806,18626,,JavaScript
55807,18626,,PHP
55808,18626,,SQL
55809,18626,,TypeScript
55810,18626,C#,
55818,18626,HTML/CSS,
55826,18626,JavaScript,
55834,18626,Rust,
55842,18626,SQL,
55850,18626,TypeScript,
55858,18629,Bash/Shell/PowerShell,Bash/Shell/PowerShell
55859,18629,,C#
55860,18629,,HTML/CSS
55861,18629,,JavaScript
55862,18629,,SQL
55863,18629,,TypeScript
55864,18629,C#,
55870,18629,Go,
55876,18629,HTML/CSS,
55882,18629,JavaScript,
55888,18629,Python,
55894,18629,SQL,
55900,18629,TypeScript,
55906,18632,C++,Java
55907,18632,,JavaScript
55908,18632,,TypeScript
55909,18632,Go,
55912,18632,Julia,
55915,18632,Rust,
55918,18637,Go,Bash/Shell/PowerShell
55919,18637,,Go
55920,18637,,Java
55921,18637,,JavaScript
55922,18637,,Kotlin
55923,18637,,Python
55924,18637,,SQL
55925,18637,,Swift
55926,18637,Python,
55934,18637,Rust,
55942,18640,Bash/Shell/PowerShell,Bash/Shell/PowerShell
55943,18640,,Java
55944,18640,,JavaScript
55945,18640,,Python
55946,18640,,SQL
55947,18640,Java,
55952,18640,JavaScript,
55957,18640,Python,
55962,18640,Rust,
55967,18640,SQL,
55972,18645,Bash/Shell/PowerShell,Bash/Shell/PowerShell
55973,18645,,HTML/CSS
55974,18645,,Java
55975,18645,,JavaScript
55976,18645,,Python
55977,18645,,SQL
55978,18645,,TypeScript
55979,18645,Dart,
55986,18645,Go,
55993,18645,HTML/CSS,
56000,18645,Java,
56007,18645,JavaScript,
56014,18645,Kotlin,
56021,18645,R,
56028,18645,Rust,
56035,18645,SQL,
56042,18645,TypeScript,
56049,18646,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56050,18646,,C#
56051,18646,,HTML/CSS
56052,18646,,JavaScript
56053,18646,,SQL
56054,18646,C#,
56059,18646,HTML/CSS,
56064,18646,SQL,
56069,18646,TypeScript,
56074,18664,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56075,18664,,HTML/CSS
56076,18664,,JavaScript
56077,18664,,PHP
56078,18664,,SQL
56079,18664,,TypeScript
56080,18664,HTML/CSS,
56086,18664,JavaScript,
56092,18664,PHP,
56098,18664,SQL,
56104,18664,TypeScript,
56110,18707,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56111,18707,,HTML/CSS
56112,18707,,JavaScript
56113,18707,,Objective-C
56114,18707,,TypeScript
56115,18707,HTML/CSS,
56120,18707,JavaScript,
56125,18707,TypeScript,
56130,18712,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56131,18712,,C#
56132,18712,C#,
56134,18726,Go,HTML/CSS
56135,18726,,Java
56136,18726,,JavaScript
56137,18726,,Kotlin
56138,18726,,Python
56139,18726,,Ruby
56140,18726,,SQL
56141,18726,,TypeScript
56142,18726,HTML/CSS,
56150,18726,Java,
56158,18726,JavaScript,
56166,18726,Kotlin,
56174,18726,Python,
56182,18726,Ruby,
56190,18726,Rust,
56198,18726,Scala,
56206,18726,TypeScript,
56214,18731,C#,C#
56215,18731,,JavaScript
56216,18731,,SQL
56217,18731,,TypeScript
56218,18731,JavaScript,
56222,18731,Kotlin,
56226,18731,Rust,
56230,18731,SQL,
56234,18731,TypeScript,
56238,18732,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56239,18732,,C#
56240,18732,,Dart
56241,18732,,Go
56242,18732,,HTML/CSS
56243,18732,,JavaScript
56244,18732,,SQL
56245,18732,,TypeScript
56246,18732,C#,
56254,18732,Dart,
56262,18732,Go,
56270,18732,HTML/CSS,
56278,18732,JavaScript,
56286,18732,SQL,
56294,18732,TypeScript,
56302,18743,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56303,18743,,C#
56304,18743,,HTML/CSS
56305,18743,,JavaScript
56306,18743,,SQL
56307,18743,,TypeScript
56308,18743,C#,
56314,18743,Dart,
56320,18743,HTML/CSS,
56326,18743,JavaScript,
56332,18743,Python,
56338,18743,SQL,
56344,18743,TypeScript,
56350,18753,Haskell,Bash/Shell/PowerShell
56351,18753,,Go
56352,18753,,HTML/CSS
56353,18753,,Java
56354,18753,,Rust
56355,18753,,Scala
56356,18753,,TypeScript
56357,18753,Rust,
56364,18764,Go,HTML/CSS
56365,18764,,Java
56366,18764,,JavaScript
56367,18764,,Kotlin
56368,18764,,PHP
56369,18764,,Python
56370,18764,,Ruby
56371,18764,,SQL
56372,18764,HTML/CSS,
56380,18764,Java,
56388,18764,JavaScript,
56396,18764,Kotlin,
56404,18764,SQL,
56412,18764,TypeScript,
56420,18787,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56421,18787,,HTML/CSS
56422,18787,,Java
56423,18787,,JavaScript
56424,18787,,PHP
56425,18787,,SQL
56426,18787,,TypeScript
56427,18787,HTML/CSS,
56434,18787,JavaScript,
56441,18787,SQL,
56448,18787,TypeScript,
56455,18792,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56456,18792,,C#
56457,18792,,HTML/CSS
56458,18792,,JavaScript
56459,18792,,TypeScript
56460,18792,C#,
56465,18792,HTML/CSS,
56470,18792,JavaScript,
56475,18792,Python,
56480,18792,TypeScript,
56485,18792,VBA,
56490,18801,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56491,18801,,C#
56492,18801,,HTML/CSS
56493,18801,,Java
56494,18801,,Objective-C
56495,18801,,SQL
56496,18801,,Swift
56497,18801,C#,
56504,18801,HTML/CSS,
56511,18801,R,
56518,18801,SQL,
56525,18809,C#,C#
56526,18809,,HTML/CSS
56527,18809,,JavaScript
56528,18809,,SQL
56529,18809,,TypeScript
56530,18809,HTML/CSS,
56535,18809,JavaScript,
56540,18809,SQL,
56545,18809,TypeScript,
56550,18813,HTML/CSS,HTML/CSS
56551,18813,,JavaScript
56552,18813,,TypeScript
56553,18813,JavaScript,
56556,18813,TypeScript,
56559,18838,HTML/CSS,C#
56560,18838,,HTML/CSS
56561,18838,,JavaScript
56562,18838,,Python
56563,18838,,SQL
56564,18838,,TypeScript
56565,18838,JavaScript,
56571,18838,SQL,
56577,18838,TypeScript,
56583,18846,C#,Assembly
56584,18846,,C#
56585,18846,,HTML/CSS
56586,18846,,JavaScript
56587,18846,,PHP
56588,18846,,Perl
56589,18846,,Ruby
56590,18846,,SQL
56591,18846,HTML/CSS,
56599,18846,JavaScript,
56607,18846,PHP,
56615,18846,Python,
56623,18846,Ruby,
56631,18846,SQL,
56639,18846,TypeScript,
56647,18866,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56648,18866,,Go
56649,18866,,HTML/CSS
56650,18866,,Java
56651,18866,,JavaScript
56652,18866,,Python
56653,18866,,SQL
56654,18866,Go,
56661,18866,JavaScript,
56668,18866,Python,
56675,18866,Ruby,
56682,18866,Rust,
56689,18866,Scala,
56696,18866,SQL,
56703,18866,TypeScript,
56710,18872,Go,Java
56711,18872,,JavaScript
56712,18872,,PHP
56713,18872,,SQL
56714,18872,Java,
56718,18872,JavaScript,
56722,18872,PHP,
56726,18872,Python,
56730,18872,SQL,
56734,18877,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56735,18877,,HTML/CSS
56736,18877,,Haskell
56737,18877,,Java
56738,18877,,JavaScript
56739,18877,,Rust
56740,18877,,SQL
56741,18877,,Scala
56742,18877,,Swift
56743,18877,,TypeScript
56744,18877,Haskell,
56754,18877,HTML/CSS,
56764,18877,Java,
56774,18877,Rust,
56784,18877,Scala,
56794,18877,SQL,
56804,18877,TypeScript,
56814,18888,C#,C#
56815,18888,,C++
56816,18888,,Java
56817,18888,,JavaScript
56818,18888,,SQL
56819,18888,JavaScript,
56824,18888,Kotlin,
56829,18888,Rust,
56834,18888,SQL,
56839,18888,TypeScript,
56844,18894,C#,C#
56845,18894,,HTML/CSS
56846,18894,,Java
56847,18894,,SQL
56848,18894,,TypeScript
56849,18894,HTML/CSS,
56854,18894,TypeScript,
56859,18903,HTML/CSS,HTML/CSS
56860,18903,,JavaScript
56861,18903,,TypeScript
56862,18903,JavaScript,
56865,18916,Dart,HTML/CSS
56866,18916,,Java
56867,18916,,JavaScript
56868,18916,,PHP
56869,18916,,SQL
56870,18916,Kotlin,
56875,18916,PHP,
56880,18916,SQL,
56885,18920,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56886,18920,,C#
56887,18920,,HTML/CSS
56888,18920,,JavaScript
56889,18920,,SQL
56890,18920,,TypeScript
56891,18920,C#,
56897,18920,Go,
56903,18920,JavaScript,
56909,18920,Kotlin,
56915,18920,Rust,
56921,18920,SQL,
56927,18933,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56928,18933,,Java
56929,18933,,JavaScript
56930,18933,,Scala
56931,18933,Go,
56935,18933,Java,
56939,18933,JavaScript,
56943,18933,Kotlin,
56947,18933,TypeScript,
56951,18937,Bash/Shell/PowerShell,Bash/Shell/PowerShell
56952,18937,,Go
56953,18937,,HTML/CSS
56954,18937,,JavaScript
56955,18937,,Python
56956,18937,,SQL
56957,18937,Go,
56963,18937,HTML/CSS,
56969,18937,JavaScript,
56975,18937,Python,
56981,18937,SQL,
56987,18945,Go,C
56988,18945,,Go
56989,18945,,HTML/CSS
56990,18945,,Java
56991,18945,,JavaScript
56992,18945,,PHP
56993,18945,,Python
56994,18945,,SQL
56995,18945,,TypeScript
56996,18945,HTML/CSS,
57005,18945,Java,
57014,18945,JavaScript,
57023,18945,PHP,
57032,18945,Python,
57041,18945,SQL,
57050,18964,C#,C
57051,18964,,C#
57052,18964,,C++
57053,18964,,Dart
57054,18964,,Go
57055,18964,,HTML/CSS
57056,18964,,Java
57057,18964,,JavaScript
57058,18964,,PHP
57059,18964,,Python
57060,18964,,Ruby
57061,18964,,SQL
57062,18964,,Swift
57063,18964,,TypeScript
57064,18964,Dart,
57078,18964,Python,
57092,18964,Ruby,
57106,18964,Rust,
57120,18964,SQL,
57134,18964,TypeScript,
57148,18978,JavaScript,JavaScript
57149,18978,,Python
57150,18978,Python,
57152,18984,C#,C#
57153,18984,,HTML/CSS
57154,18984,,JavaScript
57155,18984,,PHP
57156,18984,HTML/CSS,
57160,18984,JavaScript,
57164,18999,C#,C#
57165,18999,,JavaScript
57166,18999,,Python
57167,18999,,SQL
57168,18999,Go,
57172,18999,JavaScript,
57176,18999,Python,
57180,18999,SQL,
57184,19030,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57185,19030,,HTML/CSS
57186,19030,,JavaScript
57187,19030,,Python
57188,19030,,SQL
57189,19030,,TypeScript
57190,19030,HTML/CSS,
57196,19030,JavaScript,
57202,19030,Python,
57208,19038,Go,Bash/Shell/PowerShell
57209,19038,,C++
57210,19038,,Java
57211,19038,,JavaScript
57212,19038,,SQL
57213,19038,,TypeScript
57214,19038,Java,
57220,19038,Kotlin,
57226,19038,Python,
57232,19038,SQL,
57238,19038,TypeScript,
57244,19042,C#,C#
57245,19042,,JavaScript
57246,19042,,SQL
57247,19042,,TypeScript
57248,19042,TypeScript,
57252,19045,Go,HTML/CSS
57253,19045,,JavaScript
57254,19045,,PHP
57255,19045,,Python
57256,19045,,Ruby
57257,19045,,SQL
57258,19045,,Swift
57259,19045,,TypeScript
57260,19045,HTML/CSS,
57268,19045,JavaScript,
57276,19045,PHP,
57284,19045,Python,
57292,19045,Rust,
57300,19045,SQL,
57308,19045,Swift,
57316,19045,TypeScript,
57324,19046,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57325,19046,,C
57326,19046,,C++
57327,19046,,Go
57328,19046,,HTML/CSS
57329,19046,,JavaScript
57330,19046,,Python
57331,19046,,SQL
57332,19046,,TypeScript
57333,19046,C#,
57342,19046,Dart,
57351,19046,Go,
57360,19046,HTML/CSS,
57369,19046,JavaScript,
57378,19046,Python,
57387,19046,Rust,
57396,19046,SQL,
57405,19046,Swift,
57414,19046,TypeScript,
57423,19047,C++,C#
57424,19047,,C++
57425,19047,,HTML/CSS
57426,19047,,JavaScript
57427,19047,,Python
57428,19047,,SQL
57429,19047,Go,
57435,19047,JavaScript,
57441,19047,Python,
57447,19061,C#,C#
57448,19061,,HTML/CSS
57449,19061,,JavaScript
57450,19061,,SQL
57451,19061,,TypeScript
57452,19061,Go,
57457,19061,HTML/CSS,
57462,19061,JavaScript,
57467,19066,Go,HTML/CSS
57468,19066,,JavaScript
57469,19066,,Objective-C
57470,19066,,PHP
57471,19066,,Swift
57472,19066,HTML/CSS,
57477,19066,JavaScript,
57482,19066,PHP,
57487,19066,Swift,
57492,19075,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57493,19075,,C#
57494,19075,,SQL
57495,19075,C#,
57498,19075,HTML/CSS,
57501,19075,JavaScript,
57504,19092,Assembly,Assembly
57505,19092,,Bash/Shell/PowerShell
57506,19092,,C
57507,19092,,C#
57508,19092,,C++
57509,19092,,Go
57510,19092,,HTML/CSS
57511,19092,,Haskell
57512,19092,,Java
57513,19092,,JavaScript
57514,19092,,Python
57515,19092,,TypeScript
57516,19092,Bash/Shell/PowerShell,
57528,19092,C,
57540,19092,C++,
57552,19092,Go,
57564,19092,Haskell,
57576,19092,Java,
57588,19092,JavaScript,
57600,19092,Perl,
57612,19092,Python,
57624,19092,Ruby,
57636,19092,Rust,
57648,19092,TypeScript,
57660,19093,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57661,19093,,C#
57662,19093,,HTML/CSS
57663,19093,,JavaScript
57664,19093,,PHP
57665,19093,,Python
57666,19093,,SQL
57667,19093,C#,
57674,19093,Dart,
57681,19093,HTML/CSS,
57688,19093,JavaScript,
57695,19093,Kotlin,
57702,19093,Python,
57709,19093,SQL,
57716,19099,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57717,19099,,C#
57718,19099,,HTML/CSS
57719,19099,,JavaScript
57720,19099,,SQL
57721,19099,C#,
57726,19099,HTML/CSS,
57731,19099,JavaScript,
57736,19099,SQL,
57741,19099,Swift,
57746,19099,TypeScript,
57751,19108,C#,C#
57752,19108,,C++
57753,19108,,HTML/CSS
57754,19108,,JavaScript
57755,19108,,Objective-C
57756,19108,,PHP
57757,19108,,Python
57758,19108,C++,
57765,19108,Python,
57772,19108,Rust,
57779,19135,C#,C#
57780,19135,,HTML/CSS
57781,19135,,JavaScript
57782,19135,,SQL
57783,19135,HTML/CSS,
57787,19135,JavaScript,
57791,19135,SQL,
57795,19136,Go,Bash/Shell/PowerShell
57796,19136,,HTML/CSS
57797,19136,,JavaScript
57798,19136,,Python
57799,19136,,SQL
57800,19136,Python,
57805,19136,Rust,
57810,19144,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57811,19144,,C#
57812,19144,,HTML/CSS
57813,19144,,Java
57814,19144,,JavaScript
57815,19144,,PHP
57816,19144,,SQL
57817,19144,C#,
57824,19144,HTML/CSS,
57831,19144,JavaScript,
57838,19144,Kotlin,
57845,19144,PHP,
57852,19144,Rust,
57859,19144,SQL,
57866,19144,TypeScript,
57873,19169,Bash/Shell/PowerShell,C#
57874,19169,,HTML/CSS
57875,19169,,SQL
57876,19169,C#,
57879,19169,HTML/CSS,
57882,19169,Python,
57885,19169,SQL,
57888,19191,C#,C#
57889,19191,,HTML/CSS
57890,19191,,JavaScript
57891,19191,,PHP
57892,19191,,SQL
57893,19191,HTML/CSS,
57898,19191,JavaScript,
57903,19191,PHP,
57908,19191,Python,
57913,19191,SQL,
57918,19191,Swift,
57923,19197,Java,C#
57924,19197,,HTML/CSS
57925,19197,,Java
57926,19197,,JavaScript
57927,19197,,PHP
57928,19197,,Ruby
57929,19197,,SQL
57930,19197,,Scala
57931,19197,SQL,
57939,19199,C#,C#
57940,19199,,HTML/CSS
57941,19199,,JavaScript
57942,19199,,SQL
57943,19199,HTML/CSS,
57947,19199,JavaScript,
57951,19199,R,
57955,19199,SQL,
57959,19199,TypeScript,
57963,19230,Bash/Shell/PowerShell,Bash/Shell/PowerShell
57964,19230,,C#
57965,19230,,JavaScript
57966,19230,,SQL
57967,19230,,TypeScript
57968,19230,C#,
57973,19230,JavaScript,
57978,19230,Python,
57983,19230,Rust,
57988,19230,SQL,
57993,19237,Go,HTML/CSS
57994,19237,,JavaScript
57995,19237,HTML/CSS,
57997,19237,JavaScript,
57999,19237,TypeScript,
58001,19261,Go,HTML/CSS
58002,19261,,JavaScript
58003,19261,,PHP
58004,19261,,Python
58005,19261,,Ruby
58006,19261,,SQL
58007,19261,HTML/CSS,
58013,19261,JavaScript,
58019,19261,Python,
58025,19261,Ruby,
58031,19261,TypeScript,
58037,19266,C#,C#
58038,19266,,HTML/CSS
58039,19266,,JavaScript
58040,19266,,Python
58041,19266,Go,
58045,19266,HTML/CSS,
58049,19266,JavaScript,
58053,19266,Python,
58057,19266,TypeScript,
58061,19306,C#,C#
58062,19306,,HTML/CSS
58063,19306,,JavaScript
58064,19306,,SQL
58065,19306,HTML/CSS,
58069,19306,JavaScript,
58073,19306,SQL,
58077,19392,C++,Bash/Shell/PowerShell
58078,19392,,C#
58079,19392,,Go
58080,19392,,HTML/CSS
58081,19392,,Java
58082,19392,,JavaScript
58083,19392,,Kotlin
58084,19392,,PHP
58085,19392,,Python
58086,19392,,Ruby
58087,19392,,SQL
58088,19392,,TypeScript
58089,19392,Dart,
58101,19392,Haskell,
58113,19392,Rust,
58125,19396,C#,HTML/CSS
58126,19396,,JavaScript
58127,19396,Dart,
58129,19396,Kotlin,
58131,19439,Assembly,Bash/Shell/PowerShell
58132,19439,,C
58133,19439,,C#
58134,19439,,C++
58135,19439,,Go
58136,19439,,HTML/CSS
58137,19439,,JavaScript
58138,19439,,Kotlin
58139,19439,,Python
58140,19439,,Rust
58141,19439,,SQL
58142,19439,,TypeScript
58143,19439,Bash/Shell/PowerShell,
58155,19439,C,
58167,19439,C#,
58179,19439,C++,
58191,19439,HTML/CSS,
58203,19439,JavaScript,
58215,19439,Python,
58227,19439,Rust,
58239,19439,Swift,
58251,19439,TypeScript,
58263,19440,C#,C#
58264,19440,,HTML/CSS
58265,19440,,JavaScript
58266,19440,,SQL
58267,19440,,TypeScript
58268,19440,HTML/CSS,
58273,19440,JavaScript,
58278,19440,Python,
58283,19440,SQL,
58288,19440,TypeScript,
58293,19452,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58294,19452,,C
58295,19452,,C#
58296,19452,,C++
58297,19452,,Java
58298,19452,,JavaScript
58299,19452,JavaScript,
58305,19462,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58306,19462,,HTML/CSS
58307,19462,,Java
58308,19462,,JavaScript
58309,19462,,SQL
58310,19462,HTML/CSS,
58315,19462,Java,
58320,19462,JavaScript,
58325,19462,Python,
58330,19462,SQL,
58335,19467,C#,C#
58336,19467,,HTML/CSS
58337,19467,,JavaScript
58338,19467,TypeScript,
58341,19487,C#,C#
58342,19487,,C++
58343,19487,,Java
58344,19487,,JavaScript
58345,19487,,TypeScript
58346,19487,C++,
58351,19487,JavaScript,
58356,19487,TypeScript,
58361,19495,Python,Python
58362,19495,,SQL
58363,19495,Rust,
58365,19506,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58366,19506,,C
58367,19506,,HTML/CSS
58368,19506,,Java
58369,19506,,JavaScript
58370,19506,,Kotlin
58371,19506,,Python
58372,19506,,R
58373,19506,,SQL
58374,19506,,Scala
58375,19506,C,
58385,19506,C++,
58395,19506,HTML/CSS,
58405,19506,Java,
58415,19506,JavaScript,
58425,19506,Kotlin,
58435,19506,Python,
58445,19506,R,
58455,19506,Rust,
58465,19506,Scala,
58475,19506,SQL,
58485,19510,TypeScript,HTML/CSS
58486,19510,,JavaScript
58487,19510,,Python
58488,19526,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58489,19526,,HTML/CSS
58490,19526,,JavaScript
58491,19526,,Python
58492,19526,,SQL
58493,19526,Go,
58498,19526,HTML/CSS,
58503,19526,JavaScript,
58508,19526,Python,
58513,19526,Rust,
58518,19526,SQL,
58523,19526,TypeScript,
58528,19542,HTML/CSS,HTML/CSS
58529,19542,,Java
58530,19542,,JavaScript
58531,19542,,SQL
58532,19542,Java,
58536,19542,JavaScript,
58540,19542,Python,
58544,19542,R,
58548,19542,SQL,
58552,19547,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58553,19547,,Go
58554,19547,,HTML/CSS
58555,19547,,JavaScript
58556,19547,,Python
58557,19547,,R
58558,19547,,Ruby
58559,19547,,Rust
58560,19547,,SQL
58561,19547,Go,
58570,19547,HTML/CSS,
58579,19547,JavaScript,
58588,19547,Python,
58597,19547,R,
58606,19547,Ruby,
58615,19547,Rust,
58624,19547,SQL,
58633,19560,HTML/CSS,HTML/CSS
58634,19560,,Java
58635,19560,,JavaScript
58636,19560,Java,
58639,19560,JavaScript,
58642,19560,Python,
58645,19560,TypeScript,
58648,19574,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58649,19574,,C#
58650,19574,,HTML/CSS
58651,19574,,JavaScript
58652,19574,,SQL
58653,19574,HTML/CSS,
58658,19574,JavaScript,
58663,19574,SQL,
58668,19579,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58669,19579,,C
58670,19579,,HTML/CSS
58671,19579,,Java
58672,19579,,JavaScript
58673,19579,,Kotlin
58674,19579,,Python
58675,19579,HTML/CSS,
58682,19579,JavaScript,
58689,19579,Kotlin,
58696,19579,Python,
58703,19579,Rust,
58710,19579,TypeScript,
58717,19583,Bash/Shell/PowerShell,Bash/Shell/PowerShell
58718,19583,,HTML/CSS
58719,19583,,Java
58720,19583,,JavaScript
58721,19583,,Objective-C
58722,19583,,SQL
58723,19583,,Swift
58724,19583,,TypeScript
58725,19583,HTML/CSS,
58733,19583,Java,
58741,19583,JavaScript,
58749,19583,Objective-C,
58757,19583,SQL,
58765,19583,Swift,
58773,19583,TypeScript,
58781,19588,Bash/Shell/PowerShell,Assembly
58782,19588,,Bash/Shell/PowerShell
58783,19588,,C
58784,19588,,C#
58785,19588,,C++
58786,19588,,Dart
58787,19588,,HTML/CSS
58788,19588,,Java
58789,19588,,JavaScript
58790,19588,,Kotlin
58791,19588,,Objective-C
58792,19588,,PHP
58793,19588,,Perl
58794,19588,,Python
58795,19588,,Ruby
58796,19588,,SQL
58797,19588,,Swift
58798,19588,,TypeScript
58799,19588,,VBA
58800,19588,C,
58819,19588,Dart,
58838,19588,Go,
58857,19588,HTML/CSS,
58876,19588,JavaScript,
58895,19588,Kotlin,
58914,19588,Python,
58933,19588,R,
58952,19588,Scala,
58971,19588,SQL,
58990,19588,Swift,
59009,19588,TypeScript,
59028,19597,C#,C#
59029,19597,,HTML/CSS
59030,19597,,Java
59031,19597,,JavaScript
59032,19597,,PHP
59033,19597,HTML/CSS,
59038,19597,JavaScript,
59043,19597,Python,
59048,19608,Bash/Shell/PowerShell,Bash/Shell/PowerShell
59049,19608,,HTML/CSS
59050,19608,,JavaScript
59051,19608,,Ruby
59052,19608,,SQL
59053,19608,HTML/CSS,
59058,19608,JavaScript,
59063,19608,Ruby,
59068,19608,SQL,
59073,19614,HTML/CSS,HTML/CSS
59074,19614,,JavaScript
59075,19614,,PHP
59076,19614,,SQL
59077,19614,JavaScript,
59081,19614,PHP,
59085,19614,SQL,
59089,19617,HTML/CSS,HTML/CSS
59090,19617,,JavaScript
59091,19617,,Python
59092,19617,,Ruby
59093,19617,,SQL
59094,19617,,TypeScript
59095,19617,JavaScript,
59101,19617,Objective-C,
59107,19617,Ruby,
59113,19617,Rust,
59119,19617,SQL,
59125,19617,TypeScript,
59131,19640,Go,Go
59132,19640,,HTML/CSS
59133,19640,,Java
59134,19640,,JavaScript
59135,19640,,SQL
59136,19640,,TypeScript
59137,19640,HTML/CSS,
59143,19640,Rust,
59149,19640,SQL,
59155,19640,TypeScript,
59161,19646,C#,C#
59162,19646,,HTML/CSS
59163,19646,,JavaScript
59164,19646,,SQL
59165,19647,C#,C#
59166,19647,,SQL
59167,19647,Haskell,
59169,19647,Rust,
59171,19647,SQL,
59173,19655,Python,Python
59174,19689,C,C#
59175,19689,,HTML/CSS
59176,19689,,JavaScript
59177,19689,,TypeScript
59178,19689,C#,
59182,19689,Rust,
59186,19690,C#,C
59187,19690,,C#
59188,19690,,Java
59189,19690,,JavaScript
59190,19690,,SQL
59191,19690,,TypeScript
59192,19690,Go,
59198,19690,JavaScript,
59204,19690,TypeScript,
59210,19708,Python,JavaScript
59211,19708,,Ruby
59212,19708,,SQL
59213,19708,Ruby,
59216,19719,JavaScript,HTML/CSS
59217,19719,,Java
59218,19719,,JavaScript
59219,19719,,Python
59220,19719,,SQL
59221,19719,Julia,
59226,19719,Python,
59231,19719,TypeScript,
59236,19726,JavaScript,C
59237,19726,,C#
59238,19726,,C++
59239,19726,,Python
59240,19726,,SQL
59241,19744,Python,Bash/Shell/PowerShell
59242,19744,,JavaScript
59243,19744,,Python
59244,19744,,TypeScript
59245,19744,TypeScript,
59249,19747,Ruby,C#
59250,19747,,JavaScript
59251,19747,,Ruby
59252,19747,,Swift
59253,19765,Bash/Shell/PowerShell,Bash/Shell/PowerShell
59254,19765,,C#
59255,19765,,Java
59256,19765,,JavaScript
59257,19765,,SQL
59258,19765,,TypeScript
59259,19765,Haskell,
59265,19765,JavaScript,
59271,19765,SQL,
59277,19765,TypeScript,
59283,19771,C#,C#
59284,19771,,JavaScript
59285,19771,,TypeScript
59286,19771,JavaScript,
59289,19771,Rust,
59292,19771,TypeScript,
59295,19778,JavaScript,Java
59296,19778,,JavaScript
59297,19778,,Python
59298,19778,,Scala
59299,19778,,TypeScript
59300,19778,Python,
59305,19778,Rust,
59310,19778,Scala,
59315,19778,TypeScript,
59320,19783,C,Bash/Shell/PowerShell
59321,19783,,HTML/CSS
59322,19783,,Java
59323,19783,,JavaScript
59324,19783,,PHP
59325,19783,,Python
59326,19783,,Ruby
59327,19783,,SQL
59328,19783,,TypeScript
59329,19783,,VBA
59330,19783,C++,
59340,19783,Python,
59350,19783,Ruby,
59360,19783,Rust,
59370,19783,SQL,
59380,19789,C#,Bash/Shell/PowerShell
59381,19789,,C#
59382,19789,,C++
59383,19789,Go,
59386,19789,Java,
59389,19789,Python,
59392,19793,C#,C#
59393,19793,,HTML/CSS
59394,19793,,JavaScript
59395,19793,,SQL
59396,19793,,TypeScript
59397,19793,HTML/CSS,
59402,19793,TypeScript,
59407,19826,Python,Bash/Shell/PowerShell
59408,19826,,C
59409,19826,,HTML/CSS
